ticket_id,title,description,category,severity,source
v1-0160,Pen-test found CSRF bypass [SEC-20],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that compliance risk has increased. Issue started after a recent deployment and persists despite cache clears.",Security,P1,chat
v1-0161,Unauthorized data access in audit report [SEC-21],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however there is risk of unauthorized access when the boundary condition is met (case #1020).",Security,P1,web
v1-0162,Potential SQL injection in filter endpoint [SEC-22],Observed in production. sensitive data may be exposed. Repro count: 4.,Security,P2,mobile
v1-0163,Public bucket exposes customer logs [SEC-23],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that security controls appear bypassable. Issue started after a recent deployment and persists despite cache clears.",Security,P0,api
v1-0164,Suspicious login from impossible location [SEC-24],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however threat indicators require immediate triage when the boundary condition is met (case #1023).",Security,P1,ops
v1-0165,Privilege escalation via role API [SEC-25],Observed in production. compliance risk has increased. Repro count: 7.,Security,P0,support
v1-0166,Sensitive token appears in browser logs [SEC-26],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that there is risk of unauthorized access. Issue started after a recent deployment and persists despite cache clears.",Security,P1,security
v1-0167,Pen-test found CSRF bypass [SEC-27],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however sensitive data may be exposed when the boundary condition is met (case #1026).",Security,P1,email
v1-0168,Unauthorized data access in audit report [SEC-28],Observed in production. security controls appear bypassable. Repro count: 1.,Security,P2,chat
v1-0169,Potential SQL injection in filter endpoint [SEC-29],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that threat indicators require immediate triage. Issue started after a recent deployment and persists despite cache clears.",Security,P0,web
v1-0170,Public bucket exposes customer logs [SEC-30],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however compliance risk has increased when the boundary condition is met (case #1029).",Security,P1,mobile
v1-0171,Suspicious login from impossible location [SEC-31],Observed in production. there is risk of unauthorized access. Repro count: 4.,Security,P0,api
v1-0172,Privilege escalation via role API [SEC-32],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that sensitive data may be exposed. Issue started after a recent deployment and persists despite cache clears.",Security,P1,ops
v1-0173,Sensitive token appears in browser logs [SEC-33],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however security controls appear bypassable when the boundary condition is met (case #1032).",Security,P1,support
v1-0174,Pen-test found CSRF bypass [SEC-34],Observed in production. threat indicators require immediate triage. Repro count: 7.,Security,P2,security
v1-0175,Unauthorized data access in audit report [SEC-35],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that compliance risk has increased. Issue started after a recent deployment and persists despite cache clears.",Security,P0,email
v1-0176,Add dark mode for dashboard [FEA-01],Observed in production. customers are asking for improved usability. Repro count: 1.,Feature Request,P3,security
v1-0177,Need bulk ticket export to CSV [FEA-02],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that teams need this to reduce manual work. Issue started after a recent deployment and persists despite cache clears.",Feature Request,P3,email
v1-0178,Support custom SLA per team [FEA-03],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however current workflow is functional but limited when the boundary condition is met (case #1002).",Feature Request,P2,chat
v1-0179,Request webhook retry configuration [FEA-04],Observed in production. request aims to improve productivity. Repro count: 4.,Feature Request,P3,web
v1-0180,Add keyboard shortcuts in agent console [FEA-05],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that enhancement would improve adoption. Issue started after a recent deployment and persists despite cache clears.",Feature Request,P2,mobile
v1-0181,Expose API for custom routing rules [FEA-06],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however customers are asking for improved usability when the boundary condition is met (case #1005).",Feature Request,P3,api
v1-0182,Allow saved filters per user [FEA-07],Observed in production. teams need this to reduce manual work. Repro count: 7.,Feature Request,P3,ops
v1-0183,Add dark mode for dashboard [FEA-08],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that current workflow is functional but limited. Issue started after a recent deployment and persists despite cache clears.",Feature Request,P3,support
v1-0184,Need bulk ticket export to CSV [FEA-09],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however request aims to improve productivity when the boundary condition is met (case #1008).",Feature Request,P2,security
v1-0185,Support custom SLA per team [FEA-10],Observed in production. enhancement would improve adoption. Repro count: 1.,Feature Request,P3,email
v1-0186,Request webhook retry configuration [FEA-11],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that customers are asking for improved usability. Issue started after a recent deployment and persists despite cache clears.",Feature Request,P2,chat
v1-0187,Add keyboard shortcuts in agent console [FEA-12],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however teams need this to reduce manual work when the boundary condition is met (case #1011).",Feature Request,P3,web
v1-0188,Expose API for custom routing rules [FEA-13],Observed in production. current workflow is functional but limited. Repro count: 4.,Feature Request,P3,mobile
v1-0189,Allow saved filters per user [FEA-14],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that request aims to improve productivity. Issue started after a recent deployment and persists despite cache clears.",Feature Request,P3,api
v1-0190,Add dark mode for dashboard [FEA-15],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however enhancement would improve adoption when the boundary condition is met (case #1014).",Feature Request,P2,ops
v1-0191,Need bulk ticket export to CSV [FEA-16],Observed in production. customers are asking for improved usability. Repro count: 7.,Feature Request,P3,support
v1-0192,Support custom SLA per team [FEA-17],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that teams need this to reduce manual work. Issue started after a recent deployment and persists despite cache clears.",Feature Request,P2,security
v1-0193,Request webhook retry configuration [FEA-18],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however current workflow is functional but limited when the boundary condition is met (case #1017).",Feature Request,P3,email
v1-0194,Add keyboard shortcuts in agent console [FEA-19],Observed in production. request aims to improve productivity. Repro count: 1.,Feature Request,P3,chat
v1-0195,Expose API for custom routing rules [FEA-20],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that enhancement would improve adoption. Issue started after a recent deployment and persists despite cache clears.",Feature Request,P3,web
v1-0196,Allow saved filters per user [FEA-21],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however customers are asking for improved usability when the boundary condition is met (case #1020).",Feature Request,P2,mobile
v1-0197,Add dark mode for dashboard [FEA-22],Observed in production. teams need this to reduce manual work. Repro count: 4.,Feature Request,P3,api
v1-0198,Need bulk ticket export to CSV [FEA-23],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that current workflow is functional but limited. Issue started after a recent deployment and persists despite cache clears.",Feature Request,P2,ops
v1-0199,Support custom SLA per team [FEA-24],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however request aims to improve productivity when the boundary condition is met (case #1023).",Feature Request,P3,support
v1-0200,Request webhook retry configuration [FEA-25],Observed in production. enhancement would improve adoption. Repro count: 7.,Feature Request,P3,security
v1-0201,Add keyboard shortcuts in agent console [FEA-26],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that customers are asking for improved usability. Issue started after a recent deployment and persists despite cache clears.",Feature Request,P3,email
v1-0202,Expose API for custom routing rules [FEA-27],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however teams need this to reduce manual work when the boundary condition is met (case #1026).",Feature Request,P2,chat
v1-0203,Allow saved filters per user [FEA-28],Observed in production. current workflow is functional but limited. Repro count: 1.,Feature Request,P3,web
v1-0204,Add dark mode for dashboard [FEA-29],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that request aims to improve productivity. Issue started after a recent deployment and persists despite cache clears.",Feature Request,P2,mobile
v1-0205,Need bulk ticket export to CSV [FEA-30],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however enhancement would improve adoption when the boundary condition is met (case #1029).",Feature Request,P3,api
v1-0206,Support custom SLA per team [FEA-31],Observed in production. customers are asking for improved usability. Repro count: 4.,Feature Request,P3,ops
v1-0207,Request webhook retry configuration [FEA-32],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that teams need this to reduce manual work. Issue started after a recent deployment and persists despite cache clears.",Feature Request,P3,support
v1-0208,Add keyboard shortcuts in agent console [FEA-33],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however current workflow is functional but limited when the boundary condition is met (case #1032).",Feature Request,P2,security
v1-0209,Expose API for custom routing rules [FEA-34],Observed in production. request aims to improve productivity. Repro count: 7.,Feature Request,P3,email
v1-0210,Allow saved filters per user [FEA-35],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that enhancement would improve adoption. Issue started after a recent deployment and persists despite cache clears.",Feature Request,P2,chat
